"
בלובירד
",ג’נבייב גרהאם,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יום אחד הוא פשוט מופיע במקום העבודה שלה. גבר יפה, מלוכלך ומאובק, מחזיק חבילה בידו. קייסי פותחת את הצרור כמעט בחוסר עניין, ונדהמת. כאוצרת במוזיאון, היא בקושי מצליחה להסתיר את התרגשותה. הגבר היפה הביא איתו אוצר: בקבוק ויסקי עתיק ונדיר, שמצא טמון בקיר הבית שהוא משפץ. 

1918.
המלחמה הגדולה עדיין מתחוללת. אדל סוואר, אחות צעירה בבית חולים שדה בבלגיה, מטפלת בעדינות אין קץ בג’רי, החולה המיוחד שלה. משהו בו מרגש אותה. האם זאת העובדה שגילתה שאי אז, בקנדה הרחוקה, הם היו כמעט שכנים? לחרדתה, ג’רי הולך ונרפא ובעוד רגע ישוב לחזית. ואז? מה יהיה אז?

שנים יחלפו עד שהקצוות הפרומים ישובו ויתחברו, עד שג’רי ואדל ייפגשו שוב, באקראי, והפעם הוא יהיה זה שיציל אותה. תקופה ארוכה תחלוף גם עד שקייסי והגבר עם בקבוק הוויסקי יגלו מה קרה בבית ההוא, לפני מאה שנים, וכיצד הם קשורים לסיפור האהבה של האחות והפצוע שטיפלה בו.
”בלובירד” הוא ספר שכולו סודות, חלקם עתיקים, חבויים עשרות שנים בתוך קירות בית נטוש, וחלקם אינם מדוברים, גם בין אוהבים. על כולם מרחפים מוראות המלחמה, לצד הרצון הטבעי, הפשוט כל כך, לשוב ולחיות. 

בלובירד הוא ספרה העשירי של ג’נבייב גרהאם, שהיה לרב מכר בינלאומי מיד עם צאתו לאור.
"
"
לב רעב
",אשכול נבו,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">49.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
כתיבתו של אשכול נבו היא בעת ובעונה אחת חריפה, נוקבת ועדינה. 

דרך סיפוריו העוסקים בסודות משפחתיים, באהבה ובהיעדרה, בסיכונים והמחיר שאנחנו משלמים עליהם, הוא בוחן את הישראליות על שלל פצעיה ויופייה שאי אפשר לעמוד בפניו. 

”לב רעב” הוא קובץ סיפורים פוצע ומנחם בעת ובעונה אחת, קלאסיקה נוספת פרי עטו של אחד הסופרים המוערכים והאהובים בישראל.
"
"
ציידת היתומים
",אלן מארי וייזמן,108.00 ₪,97.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">54.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
רומן היסטורי מרתק ועוצמתי – נערה צעירה בעיר פילדלפיה מחפשת אחר אחיה התאומים על רקע התפרצות השפעת הספרדית, המגֵפה הקטלנית שהדביקה שליש מאוכלוסיית העולם.

בסתיו של שנת 1918, פִּיה לאנגה, מהגרת יתומה מאם בת 13 מגרמניה, משתוקקת להתרחק משכונות העוני הצפופות של פילדלפיה ומאווירת האיבה למהגרים שאילצה את אביה להתגייס לצבא ארצות הברית רק כדי להוכיח את נאמנותו למולדת החדשה. אבל בעוד פילדלפיה חוגגת את סיום המלחמה מתרגשת על העיר סכנה חמורה: השפעת הספרדית שעתידה לקטול את חייהם של מיליונים. סרטי אבל מופיעים על דלתות הבתים, מודעות על הֶסגר נתלות ברחבי העיר, הקורבנות מתים ברחובות, והתושבים עוטים מסכות לבנות כדי להישמר מפני המחלה. כשהאוכל אוזל בדירה הקטנה המשמשת לפִּיָה בית היא נאלצת לצאת לבדה לעיר הנתונה בהסגר, כדי לחפש מזון, ולהשאיר את אחיה התאומים לבדם.
"
"
הרומן שלי עם כריסטי
",נינה דה גרמונט,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
בתחילת חודש דצמבר בשנת 1926 נעלמה הסופרת אגתה כריסטי לאחד-עשר ימים, לאחר מריבה עם בעלה
שביקש לבלות את סוף השבוע עם המאהבת שלו. פגועה ונסערת יצאה אגתה כריסטי מביתה
ונעלמה כאילו בלעה אותה האדמה. הספור עורר עניין תקשורתי עצום, שכן כריטי כבר היתה אז סופרת ידועה. מאות שוטרים הוקצו לחקירת ההיעלמות, פרס כספי הוכרז, ואפילו הסופר ארתור קונן דויל, יוצרו של שרלוק הולמס, הצטרף לחיפושים.
פרשת היעלמותה האמיתית של הסופרת המצליחה משמשת סיפור מסגרת לספרה של נינה דה גרמונט, שנכתב כמחווה לעלילות המתח של כריסטי. הרומן שלי עם כריסטי בוחר , עם זאת, בנקודת מבט מפתיעה, זו של נאן או’ידי, המאהבת. דרכה אנחנו מתוודעים לסיפור האהבים עם בעלה של כריסטי, וכן לסיפורה שלה. שני אלה נכרכים זה בזה, וכמו בעלילות מתח טובות, אין דבר בין הנחות היסוד הראשוניות שלנו כקוראים לבין הפרטים המתבררים בהמשך.
"
"
באומגרטנר
",פול אוסטר,88.00 ₪,79.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">37.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
ספרו החדש של פול אוסטר, רומן קטן המתאר חיים שלמים, נפתח בסיר שרוף על הכיריים. סי בָּאוּמְגַרְטְנֶר, פרופסור לפילוסופיה, שכח שרצה להרתיח מים.
אהבתו העמוקה וארוכת השנים לאשתו אנה הגדירה את חייו של באומגרטנר, אך אנה נהרגה בתאונת שחייה לפני תשע שנים. כעת, על סף פרישה, הוא מנסה לחיות בהעדרה ומתאמץ למצוא שוב אהבה שתיתן לו אחיזה בחיים. הרומן מתפתל בעדינות בנתיב זיכרונותיו וגעגועיו המתמשכים אליה, אל ימיהם בתור סטודנטים רעבים שעובדים וכותבים בניו יורק, על פני ארבעה עשורים של יחסים מלאי תשוקה, וחזרה אל ילדותו של באומגרטנר בניוארק, ואל חיי אביו יליד פולין, בעל חנות בגדים ומהפכן כושל.
בקולו השנון, החמים, והמלא הומור, מזכה אוסטר את קוראיו הנאמנים בסיפור המזקק את יופיים של רגעים קטנים בחיי היומיום. באומגרטנר מעלה את השאלה, מדוע אנחנו זוכרים דווקא את אלה ושוכחים את האחרים.
"
"
לחישת הזאב
",יריב ענבר,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
עשרות מבצעים חשאיים שבהם השתתפה לוחמת המוסד המיומנת אירית הסתיימו ללא תקלה, עד להסתבכות אחת נדירה שבה מעורבת נור, רעייתו של אישיות סורית בכירה.

על אירית מוטלת המשימה לנצל את הקשר שנוצר עם נור, לשטות בה מבלי שתבין שהיא מגויסת לשורות המודיעין הישראלי ולגרום לה לרגל אחרי בעלה. אך למציאות חוקים משלה, ומה שמוכתר תחילה כהצלחה, הולך ומסתבך עד כדי תלות כמעט קיומית של שתי הנשים זו בזו. כשסודות אפלים ייחשפו כבר לא תהיה לאף אחת מהן ברירה אלא לבחור בין רע לרע יותר. 

לחישת הזאב מספק הזדמנות נדירה להיחשף לעולמן המסתורי של הנשים העוסקות בריגול משני צדי המתרס. זהו רומן הפכפך, רווי יצרים ומניפולציות, המרחיק אל מעבר לגבולות הז’אנר ועוסק במתח ההרסני שבין המוסר לטבע האדם, חושף את המניעים האפלים ביותר שמפעילים אותנו ובוחן דילמות של צדק, נקמה וגבולות הכוח.
"
"
יוצא מן הכלל
",סמנתה יאנג וקריסטן קאליהן,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">49.00 ₪</span>",Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
אומרים שהפכים נמשכים... 
כשההפכים האלה יתנגשו, זה ייגמר בפיצוץ!
פארקר בראון נאלצת לשכור לעצמה בן זוג למפגש של העבודה בערב. למרבה המזל היא מוצאת את המועמד המושלם - בוגר אוניברסיטה כמוה שזקוק לכסף קל ומהיר. אלא שאז נכנס לבר במקומו אחיו הגדול, ריס מורגן. מתאגרף־לשעבר גבוה ושרירי בעל פה מלוכלך. כדי לשמור על אחיו הצעיר, דין, שלא יידרדר, הוא הולך ל”דייט” במקומו. הוא כבר יעמיד במקומה את הבחורה המיוחסת הזאת עם ההצעה המגונה שלה. 
עכשיו פארקר תקועה עם הבריון המחוספס הזה מול הבוס הביקורתי שלה. 
ויש עוד בעיה אחת: מרגע שנפגשו, פארקר ודין לא מסוגלים להוריד את הידיים זה מזו. אך איזה עתיד כבר יכול להיות למתאגרף קשוח ומחוספס שפוחד לפתוח את לבו, ולחנונית אליטיסטית שבעקבות שיברון־לב ויתרה על האפשרות למצוא אהבה בחייה? 
קריסטן קאליהן היא סופרת מפני שאין שום דבר אחר שהיא מעדיפה להיות. כלת פרס ריטה לספרות רומנטית ועתירת שבחים. ספר הביכורים שלה הוכתר ספר השנה של לייבררי ז’ורנל והספר הטוב ביותר בסוגת הספרות הרומנטית מטעם RUSA ALA. כשהיא אינה כותבת, היא קוראת. 
סמנתה יאנג היא סופרת רבת־מכר של הניו יורק טיימס, וול־סטריט ז’ורנל ויו־אס־איי טודיי, ומועמדת לתואר בחירת־השנה של אתר גּודרידס. כתבה יותר מ־50 ספרים שראו אור ב־31 ארצות. עלילות ספריה מתרחשות לרוב בארץ מגוריה האהובה עליה, סקוטלנד. היא מחלקת את זמנה בין משפחתה, כתיבה ומרדף אחר שני הפודלים השובבים שלה
"
"
שיעורים בכימיה
",בוני גרמוס,104.00 ₪,83.20 ₪,"
78.00 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
שום דבר בחייה של אליזבת זוט - כימאית פורצת דרך בארצות הברית של שנות השישים, לא היה שגרתי. 

סיפור האהבה שלה עם קלווין אוונס, למשל, הוא אחד מסיפורי האהבה הכי פחות שגרתיים שיש. 

למעשה, זה סיפור האהבה הכי פחות רומנטי שתשמעו אי פעם; במקום להיות דרך רצופה בשושנים, דרכם של קלווין ואליזבת רצופה בתקריות מבדחות ומצערות, אי הבנות, כעסים והתנצלויות. שניהם מכסים במסכה של קרירות מקצועית את הכאב שהם נושאים מפגיעות ישנות, צלקות נפשיות שיכאיבו להם תמיד – ואיכשהו עולה בידם למצוא נחמה זה בזרועותיה של זו. 

הנסיבות כמעט כולן נגדם, כולל כמה חברים לעבודה אכולי קנאה – ובכל זאת הם מתאהבים, אהבה עצומה, עמוקה ויציבה שלא סוערת כמו האוקיינוס אלא מתרחבת ומתפשטת מהם והלאה כמו מעיין תת קרקעי. 

אבל סיפור האהבה שלהם הוא לא הסוף, הוא רק ההתחלה.

טרגדיה איומה שפוקדת אותם משאירה את אליזבת לבד ובהיריון, כשכל מה שיש לה כדי לגדל את בתה הן גישה פרקטית, נחישות ויעילות שאין שניה לה. 

ההזדמנות נוקשת שוב על דלתה של אליזבת זוט כשתקרית מצערת של בתה בבית הספר מצעידה אותה היישר אל אולפן הטלוויזיה של וולטר פיין. 

כשהיא אומרת לו בדיוק מה שהיא חושבת עליו היא שותלת במוחו לגמרי במקרה רעיון לתכנית חדשה עם פוטנציאל הצלחה כביר. 

אליזבת זוט מגלה עד מהרה שארה”ב רעבה לתכנית בישול מסוג חדש. ההצעה להנחות תוכנית בישול בערוץ טלוויזיה נידח היא משפילה עבור כימאית ברמה שלה, אבל מה אם זוהי ההזדמנות היחידה שלה לחזור למירוץ הקריירה, או לפחות להבטיח רווחה כלכלית עבורה ועבור בתה? 

שיעורים בכימיה – רומן מריר-מתוק, מרגש ונוקב, עם גיבורה ייחודית ובלתי נשכחת.
"
"
הקיסר חלק א
",עדן בל,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי/ היסטורי 
","
טרופים: גבר אלפא, גיבורה נועזת, יחסים אסורים, הבדלי מעמדות, רומן היסטורי

”הם לקחו ממני הכול וכעת לא נשאר לי עוד מה להפסיד.”

טליה

בגיל תשע עשרה משפחתי נרצחה במלחמה עקובה מדם. אדמתי נכבשה על ידי פולשים שלקחו אותי בשבי. נמכרתי כשפחה לאיש זקן ונאלצתי לטפל בו בעל כורחי, עד שלילה אחד גבר מהמעמד העליון דפק על הדלת ופלש לביתנו בלי רשות, כאילו המקום שייך לו. 
הוא היה יהיר וכריזמטי בצורה יוצאת דופן, סמל סטטוס לכל מה ששנאתי בעולם הזה, ומזכרת מהלכת לרצח משפחתי. תיעבתי אותו, תיעבתי את הכוח שהיה לו עליי ובעיקר תיעבתי את החום שהסתחרר בבטני בכל פעם שהביט בי. 

לוקאס

אף אחד לא העז להרים את מבטו מהרצפה ולהביט בעיניי, והיא? היא כעסה עליי, סירבה לי וגם תקפה אותי, אמיצה כמו לגיון שלם. עצם הקרבה שלי אליה סיכנה אותה, אבל לא התכוונתי לשחרר אותה לעולם, לא מרגע שפתחה את הפה העוקצני שלה. 
היא הייתה שינוי פראי ומרענן במקום הקר והנוקשה שבו גדלתי. לא היה לי ספק שאוכל לשלוט בה ולשבור את רוח הלחימה שלה, אבל לא חפצתי בזה. היא תיכנע לי מרצון.

הקיסר חלק א מאת סופרת רבי המכר עדן בל הוא רומן היסטורי על תקופה מרתקת ובה מלכים, בני אצולה, שפחות ועבדים. הרומן מגולל את סיפורם של שני אנשים ממעמדות ורקעים שונים המוצאים זה את זה, נלחמים זה בזה ובתשוקה הבוערת ביניהם. 
ספרים נוספים מאת הסופרת; טרילוגיית החטאים. הספרים כיכבו בכל רשימות רבי המכר בארץ וזכו להצלחה רבה.
"
"
השטן מדבלין
",ביבי איסטון,0.00 ₪,104.00 ₪,Not Available,0.00 ₪,36.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי/ פשע-מאפיה 
","
מאת סופרת רב־המכר ”44 פרקים על 4 גברים” (ששימש השראה לאחת הסדרות הנצפות ביותר בנטפליקס) מגיע רומן מאפיה אפלולי ומטריף חושים, סוחף ומתובל בפולקלור אירי.
***
אני כבר לא זוכרת אם העיניים של סבא שלי היו כחולות או ירוקות, אבל אף פעם לא אשכח את הקמטים בזוויות שלהן כשצחק מאחת הבדיחות שסיפר. או איך הן נצצו בשעשוע כשסחף אותי בסיפורי אגדות על יצורי קסם ששוכנים ביער שמאחורי חוות הכבשים הצנועה שלו באירלנד – פיות ביישניות שאוהבות לאכול עוגיות, מכשפות אכזריות שאוהבות לאכול ילדים, רוח עגמומית ששוכנת באגם ואוהבת מתנות יקרות. 
כילדה, האמנתי לכל מילה שלו. אבל כשהזהיר אותי מפני הילד האילם שארב גם הוא ביערות האלה, אותו ילד קטן שהכומר הכריז שהוא זרע השטן בכבודו ובעצמו – סירבתי להקשיב. קלן לא היה רע. הוא היה אכפתי, יפהפה, מיוחד ומצולק. הוא היה חבר שלי. וככל שביליתי בחברתו עוד ועוד קיצים גנובים, באותו יער קסום, הוא רק הפך ליותר ויותר מכל התכונות האלה. 
אבל כשאני חוזרת לגלנשייר כאישה בוגרת, מתאבלת ומאורסת לאדם אחר, כל אותן אגדות משנות צורה במהירות והופכות לסיוט. 
סבא שלי צדק לגבי הכול, בעיקר לגבי קלן. 
חבל שלא הקשבתי לו. 
***
השטן מדבלין יכבוש את לבבכם בסערה. הוא מיועד לקוראים שנהנים מאינטנסיביות רגשית עזה, ממתח שמדהיר את הדופק, מרומנטיקה מהסוג של סיפור אגדה ומהנוף האירי המרהיב. אם הדברים האלה מדברים אליכם, ברוכים הבאים לגלנשייר!
"
"
עד שליבך יתנגן לימוד ימימה
",אלומה לב,118.00 ₪,94.40 ₪,"
88.50 ₪
","<span class=""price"">45.00 ₪</span>","<span class=""price"">36.00 ₪</span>",Not Available,"
 תחום: 
 יהדות ומחשבת ישראל 
","
 תת תחום: 
 יהדות ומחשבת ישראל 
","
לפעמים קשה לשים לב איך אנחנו הולכים לאיבוד לעצמנו בחיי היומיום. העולם שלנו עמוס ומציף בגירויים רבים מכדי לספור אותם – אנחנו מרגישים כמעט מחוייבים להשיג, לחוות, ללמוד, לצפות. העולם שלנו מהיר ומשתנה כל הזמן ואנחנו, שמשתנים איתו, עלולים בקלות למצוא את עצמטו טובים בתוכו. לפעמים נדמה שכדי לשרוד בו עלינו להחזיק כמות על אנושית של מידע בראש שלנו, להקשיח את הלב שלנו ולהתעלם מרגשותינו על מנת להיות ”בשיא שלנו” – מה שזה לא אומר. 

העולם אולי משתנה מהר, אבל הנפש האנושית משתנה לאט. היא עדיין זקוקה לתשומת הלב שלנו, לסבלנות ולאיטיות. היא צריכה זמן להרהורים, עיבוד והכלה, זמן שאנחנו מתקשים לתת לה כשאנחנו מוצפים כמעט 24

7 בגירויים ומשימות. 

אבל אבל אי אפשר להרעיב את הנפש לאורך זמן בלי להתחיל להרגיש אומללים, חסרי מנוחה וחסרי סיפוק. 

הנשמה שלנו זקוקה לאוורור מדי פעם, ואת זה הרבנית ימימה אביטל הבינה היטב. תורתה של ימימה מובילה ומנחה מאות אם לא אלפי נשים. 

המילים שלה פותחות באיטיות סבלנית את הקשרים שנוצרים בתוך הלב, פוצעים את נימי הנפש וחוסמים את האור ואהבה הטבעיים שלנו. במאה ועשרה פרקים, הספר ”עד שליבך יתנגן” מלמד את יסודות תורת ימימה בצורה מקיפה ומעמיקה. הוא יעניק לך כלים בסיסיים להתמודדות עם החלקים של החיים שכולנו מרגישים חוסר ביטחון, היסוס או פגיעות באחד מהם: זוגיות, מערכות יחסים מול ההורים והילדים שלנו, הקריירה שלנו, הגוף שלנו ועוד. 

קבלת חולשות הנפש, לטענתה של ימינה, פותחת שער חדש לכוחות הנפש שלנו, וזה השיעור החשוב ביותר שאפשר ללמוד. 

תורתה של ימימה מלמדת אותנו לא לפחד מעומק החוויה הרגשית שלנו בעולם, שיש בה גם אהבה, בדידות, כאב, תפילה, געגועים, פחדים והתחדשות. 

היא נותנת מקום לכל חלקי הנפש, מעודדת אותנו להפריד את זו מזו את המחשבות שהצטברו יחד כפקק תנועה, להתבונן בעקשנות בטוב ולדבוק בו, ובסופו של דבר מאפשרת לנו לתת מקום לעצמנו על מנת שנוכל להיות גם עבור אחרים. 

אם גם היומיום שלך גורם לך לתחושת מחנק ורצון להתנתק מהכל, ”עד שליבך יתנגן” זה הספר שיעניק לך אוויר לנשימה וישיב לחייך את השמחה והחדווה במילים שיוצאות מן הלב ונכנסות אל הלב.
"
